time,month,pCO2
14.25,2023_05,1023.799169
14.75,2023_05,1024.421548
15.25,2023_05,1060.707887
15.75,2023_05,1014.438546
16.25,2023_05,961.0001643
16.75,2023_05,955.4893261
17.25,2023_05,1048.446535
17.75,2023_05,1140.885157
18.25,2023_05,1171.693595
18.75,2023_05,1227.889026
19.25,2023_05,1233.153429
19.75,2023_05,1281.213778
20.25,2023_05,1300.955387
20.75,2023_05,1310.903988
21.25,2023_05,1328.358422
21.75,2023_05,1351.812515
22.25,2023_05,1388.006597
22.75,2023_05,1430.280507
23.25,2023_05,1470.971214
23.75,2023_05,1475.312991
0.25,2023_06,2595.889824
0.75,2023_06,2721.392635
1.25,2023_06,2804.080562
1.75,2023_06,2906.327107
2.25,2023_06,3041.668774
2.75,2023_06,3087.706863
3.25,2023_06,3241.936995
3.75,2023_06,3290.288575
4.25,2023_06,3359.065656
4.75,2023_06,3500.609323
5.25,2023_06,3507.322554
5.75,2023_06,3540.275158
6.25,2023_06,3380.760087
6.75,2023_06,3102.262552
7.25,2023_06,2782.677178
7.75,2023_06,2540.828792
8.25,2023_06,2397.924264
8.75,2023_06,2335.892509
9.25,2023_06,2454.06513
9.75,2023_06,2314.26083
10.25,2023_06,2322.940912
10.75,2023_06,2146.146016
11.25,2023_06,2005.830992
11.75,2023_06,1825.395228
12.25,2023_06,1696.567177
12.75,2023_06,1442.105051
13.25,2023_06,1421.64566
13.75,2023_06,1423.18023
14.25,2023_06,1402.484354
14.75,2023_06,1345.262026
15.25,2023_06,1429.336687
15.75,2023_06,1412.852788
16.25,2023_06,1449.267753
16.75,2023_06,1406.195252
17.25,2023_06,1441.229203
17.75,2023_06,1579.887202
18.25,2023_06,1585.396099
18.75,2023_06,1715.750053
19.25,2023_06,1771.644771
19.75,2023_06,1760.035696
20.25,2023_06,1903.451394
20.75,2023_06,2057.869098
21.25,2023_06,2160.084188
21.75,2023_06,2178.241661
22.25,2023_06,2249.201717
22.75,2023_06,2334.879284
23.25,2023_06,2375.921581
23.75,2023_06,2443.527793
0.25,2023_07,1178.624302
0.75,2023_07,1213.28085
1.25,2023_07,1253.882275
1.75,2023_07,1320.204178
2.25,2023_07,1381.534064
2.75,2023_07,1440.445443
3.25,2023_07,1502.892894
3.75,2023_07,1536.368991
4.25,2023_07,1499.027487
4.75,2023_07,1561.019205
5.25,2023_07,1641.750039
5.75,2023_07,1614.74049
6.25,2023_07,1632.523088
6.75,2023_07,1538.698044
7.25,2023_07,1433.88652
7.75,2023_07,1293.155854
8.25,2023_07,1149.090016
8.75,2023_07,1090.306807
9.25,2023_07,1015.118458
9.75,2023_07,933.7194234
10.25,2023_07,846.3034198
10.75,2023_07,789.1306032
11.25,2023_07,666.4106752
11.75,2023_07,690.8447697
12.25,2023_07,734.6895274
12.75,2023_07,657.9708896
13.25,2023_07,594.5242222
13.75,2023_07,648.3634336
14.25,2023_07,675.5796777
14.75,2023_07,680.5869748
15.25,2023_07,651.1220757
15.75,2023_07,649.8890562
16.25,2023_07,700.4842375
16.75,2023_07,673.57007
17.25,2023_07,733.379561
17.75,2023_07,799.7255687
18.25,2023_07,837.8455176
18.75,2023_07,872.3742854
19.25,2023_07,896.7347034
19.75,2023_07,876.2698142
20.25,2023_07,934.6170175
20.75,2023_07,946.7934887
21.25,2023_07,975.2003704
21.75,2023_07,992.9319395
22.25,2023_07,1021.64688
22.75,2023_07,1048.219583
23.25,2023_07,1093.919399
23.75,2023_07,1131.297608
0.25,2023_08,2281.963279
0.75,2023_08,2338.905794
1.25,2023_08,2404.287226
1.75,2023_08,2480.411629
2.25,2023_08,2556.357568
2.75,2023_08,2708.073039
3.25,2023_08,2817.360208
3.75,2023_08,2925.790567
4.25,2023_08,3050.106385
4.75,2023_08,3162.869194
5.25,2023_08,3432.884686
5.75,2023_08,3416.235343
6.25,2023_08,3384.245636
6.75,2023_08,3163.459783
7.25,2023_08,3150.681936
7.75,2023_08,2964.917839
8.25,2023_08,2682.479076
8.75,2023_08,2464.470716
9.25,2023_08,2328.363897
9.75,2023_08,2198.065736
10.25,2023_08,2033.445698
10.75,2023_08,1870.24056
11.25,2023_08,1647.122308
11.75,2023_08,1403.671771
12.25,2023_08,1397.621355
12.75,2023_08,1234.988211
13.25,2023_08,1050.590948
13.75,2023_08,1128.375105
14.25,2023_08,1233.4893
14.75,2023_08,1217.762806
15.25,2023_08,1205.136567
15.75,2023_08,1091.090599
16.25,2023_08,1109.051979
16.75,2023_08,1253.822954
17.25,2023_08,1187.963774
17.75,2023_08,1172.478096
18.25,2023_08,1244.103357
18.75,2023_08,1343.673989
19.25,2023_08,1397.246635
19.75,2023_08,1472.891136
20.25,2023_08,1491.841476
20.75,2023_08,1574.425721
21.25,2023_08,1765.146367
21.75,2023_08,1895.969948
22.25,2023_08,1984.364606
22.75,2023_08,1969.408239
23.25,2023_08,2097.56115
23.75,2023_08,2204.4779
