year_month,time,pCO2_ave,pCO2_SE,PAR,WT,WT_SE,dpCO2T_obs,dpCO2T_obs_se,dpCO2T_model
2022_12_2023_02,8.664213564,1236.706403,167.7120607,371.2838286,6.164069264,0.455351838,62.32017255,51.01670607,-7.436421794
2022_12_2023_02,9.164213564,1295.545922,163.4316255,511.9361039,6.31038961,0.46140568,58.53717418,67.78311793,-16.46629787
2022_12_2023_02,9.664213564,1284.356288,131.8338789,597.3600182,6.481601732,0.451482,-15.18532748,58.650843,-21.95051317
2022_12_2023_02,10.16421356,1277.773986,128.9134534,727.3831117,6.67034632,0.468236932,-10.66441238,36.40251403,-30.29799577
2022_12_2023_02,10.66421356,1233.330902,119.3387019,801.7873844,6.894372294,0.477073335,-58.50718211,42.97629541,-35.07475008
2022_12_2023_02,11.16421356,1175.948341,106.4713837,863.9138676,7.086796537,0.474718888,-80.98184762,39.30231481,-39.0632703
2022_12_2023_02,11.66207681,1096.669484,101.0405206,871.5061402,7.360556111,0.458183807,-103.8962215,41.47053636,-39.5506942
2022_12_2023_02,12.16441799,994.2465937,94.20915422,814.7882476,7.446031746,0.46560641,-107.9275388,37.93404765,-35.9094055
2022_12_2023_02,12.64121212,1019.50351,115.1241552,755.5222436,7.332121212,0.510153991,16.5887323,89.05281237,-32.10452804
2022_12_2023_02,13.16696128,856.7913132,91.21450903,833.4797,7.602525253,0.53553815,-70.43732132,117.5069134,-37.10939674
2022_12_2023_02,13.66456553,887.2871548,114.0442212,690.3906667,7.652777778,0.487669216,57.26858949,56.70353533,-27.9230808
2022_12_2023_02,14.15972222,875.0283421,100.2066417,567.0026077,7.575,0.471722346,-17.84206031,45.24283214,-20.00156741
2022_12_2023_02,14.65972222,834.3750219,99.22744766,487.6333779,7.583803419,0.437469084,-36.30392644,26.93683935,-14.90606286
2022_12_2023_02,15.15972222,863.1217306,110.2153696,437.4301559,7.522735043,0.464592611,38.17329078,49.32626508,-11.68301601
2022_12_2023_02,15.65972222,884.9242939,124.1912054,313.4938959,7.503376068,0.452143064,27.34123467,32.06119417,-3.726308117
2022_12_2023_02,16.15972222,861.0014218,121.9083533,197.0697031,7.342820513,0.452630183,-18.95181795,15.92909254,3.748125062
2022_12_2023_02,16.66236171,816.4710319,118.7683161,94.42473437,7.283867244,0.454710566,-21.568715,25.92675497,10.33793205
2022_12_2023_02,17.16236171,813.4169004,119.3829693,27.07187533,7.17981241,0.461443016,1.50365916,23.25683301,14.6619856
2022_12_2023_02,17.66236171,830.9773186,126.0191731,4.899546667,7.047402597,0.459609651,20.84910036,27.70103877,16.0854491
2022_12_2023_02,18.16236171,831.2262289,120.9665611,0,6.912337662,0.46696274,1.754252997,19.00948707,16.4
2022_12_2023_02,18.66236171,847.6506983,126.505224,0,6.845974026,0.465760798,20.91314684,18.34385673,16.4
2022_12_2023_02,19.16236171,855.080913,128.4284367,0,6.768383838,0.464164052,9.873860769,14.63404164,16.4
2022_12_2023_02,19.66236171,870.2772616,127.5598746,0.607381818,6.675670996,0.454361814,17.97813628,12.65726254,16.36100609
2022_12_2023_02,20.16236171,875.1933818,123.3836916,0,6.615772006,0.458153678,7.986882211,14.97765866,16.4
2022_12_2023_02,20.66236171,893.4975058,134.0640127,0,6.541601732,0.455674796,22.25724584,21.58408683,16.4
2022_12_2023_02,21.16236171,903.5201559,130.7305575,0,6.505252525,0.460228751,10.97675375,9.209582621,16.4
2022_12_2023_02,21.66236171,910.4697159,136.8367952,0,6.458845599,0.457205643,9.783866998,17.68815757,16.4
2022_12_2023_02,22.16236171,920.5084169,136.8812439,0,6.413419913,0.448902605,10.65138527,26.01882516,16.4
2022_12_2023_02,22.66236171,948.1835732,139.1193397,0,6.396089466,0.448809316,29.22279878,15.52698693,16.4
2022_12_2023_02,23.16236171,964.6842095,141.3941819,0.477228571,6.321919192,0.450425574,18.67920161,12.24110861,16.36936193
2022_12_2023_02,23.66236171,967.0358775,139.9297,0,6.289220779,0.455023754,1.253304263,12.55943935,16.4
2023_03_05,0.22997558,2682.612648,245.0829452,0,17.76724431,0.442893217,41.34175932,29.75042308,34.32004766
2023_03_05,0.72997558,2696.198239,249.4237171,0,17.69947874,0.440957074,17.90856727,37.56919734,29.23085352
2023_03_05,1.22997558,2724.553674,246.0685096,0,17.63572557,0.436627689,31.14068462,29.40825818,24.44299037
2023_03_05,1.72997558,2693.167663,246.4862193,0,17.58185301,0.431169152,-30.69026079,35.50663527,20.39716117
2023_03_05,2.22997558,2797.137036,241.5488304,0,17.52778039,0.432681209,106.7681228,48.89237218,16.33630764
2023_03_05,2.72997558,2786.130113,236.8529135,0,17.4788698,0.433917646,-6.392374234,55.65583453,12.66312182
2023_03_05,3.22997558,2835.514424,236.0752892,0,17.4175675,0.428409928,54.86440551,41.42126706,8.059319081
2023_03_05,3.72997558,2928.875383,267.5060693,0.477228571,17.37615656,0.429527968,97.72102793,87.64367684,4.893999181
2023_03_05,4.22997558,2917.461811,252.5484727,0,17.31144372,0.429525993,-3.203086966,45.99450126,0.08942303
2023_03_05,4.72997558,2906.814141,251.6900796,0,17.2719437,0.431683701,-7.98500726,54.4928833,-2.877028383
2023_03_05,5.22997558,2923.181036,245.6306556,8.85259,17.24463741,0.425360462,24.87023018,46.27411239,-5.954630808
2023_03_05,5.72997558,2988.865628,249.9064086,35.69669714,17.2120971,0.428748095,69.53753705,39.69241153,-11.51232466
2023_03_05,6.22997558,3048.249232,256.1703691,103.7017686,17.18050844,0.423890218,64.25104454,35.05078981,-21.77322113
2023_03_05,6.72997558,3008.391986,245.8732259,204.1822443,17.1905912,0.424616807,-40.05854511,41.50728034,-32.67174119
2023_03_05,7.22997558,2985.339812,255.9866589,334.8474271,17.22369848,0.42622186,-23.95910483,58.1288992,-45.34254567
2023_03_05,7.72997558,2843.103536,238.1956046,470.18945,17.27060392,0.421995722,-151.3777149,71.03747693,-57.51962158
2023_03_05,8.22997558,2629.866598,237.902759,634.4753857,17.33435177,0.423620476,-223.0033704,60.79131425,-71.78932658
2023_03_05,8.72997558,2526.688941,245.4249408,829.0653357,17.44733301,0.422966185,-111.2553564,55.53877108,-85.87687011
2023_03_05,9.22997558,2434.412129,263.0967174,859.5125186,17.5951996,0.420412028,-105.4602556,75.16139902,-78.30396205
2023_03_05,9.72997558,2267.936596,243.02111,1090.03778,17.77530063,0.414890797,-173.9168424,68.71588898,-91.51930524
2023_03_05,10.22997558,2224.902255,252.9371699,1202.544416,17.96928705,0.415411767,-56.70625655,85.32303949,-90.00169442
2023_03_05,10.72997558,2125.187814,275.4353989,1336.621783,18.16268186,0.424256647,-118.6458716,121.9224679,-91.03071905
2023_03_05,11.22997558,1973.00393,253.897684,1340.24872,18.54585596,0.449908558,-177.1834782,120.2212862,-62.67506888
2023_03_05,11.73473748,2070.115578,334.098963,1398.529342,18.8078652,0.507404335,111.1615973,160.8452568,-49.75872715
2023_03_05,12.23156288,2060.340183,303.7399161,1301.174546,18.93815773,0.501679058,-22.91200979,176.2560685,-28.68060179
2023_03_05,12.71153846,2172.092988,359.4445027,1439.30932,19.17446534,0.447958452,35.8446986,155.4093811,-26.95753417
2023_03_05,13.23539352,1819.724372,279.7768122,1387.276944,19.05767053,0.588857619,-132.7862347,192.0099395,-29.69306895
2023_03_05,13.74201539,1768.940033,226.5809667,1235.910647,19.18946098,0.611035001,119.0771554,136.5547238,-2.237115247
2023_03_05,14.23624339,1862.779524,251.6077292,1186.461813,19.16618577,0.577376872,135.2282328,75.26139357,1.750980699
2023_03_05,14.73624339,1872.036791,238.1612309,1040.787791,19.20457903,0.575265288,24.312133,82.48873557,21.532501
